date;last;day_opening;maximum;minimum;var%
22/09/2020;54.717;54.148;54.962;53.839;1.08
21/09/2020;54.131;54.511;54.979;53.876;0.43
18/09/2020;53.898;52.397;53.988;52.391;2.87
17/09/2020;52.394;52.379;52.924;52.264;0.03
16/09/2020;52.379;52.765;52.765;52.127;-0.7
15/09/2020;52.748;52.698;53.016;52.192;0.08
14/09/2020;52.706;53.191;53.235;52.613;-0.91
11/09/2020;53.189;53.209;53.495;52.583;-0.04
10/09/2020;5.321;53.095;53.325;52.681;0.25
09/09/2020;53.078;53.615;5.362;52.785;-1.04
08/09/2020;53.638;53.608;54.096;53.156;1.18
04/09/2020;53.012;52.901;53.285;52.465;0.19
03/09/2020;52.914;53.408;53.752;52.722;-0.92
02/09/2020;53.403;53.987;54.309;53.407;-1.03
01/09/2020;5.396;54.927;54.927;53.344;-1.76
31/08/2020;54.925;5.385;54.949;5.385;1.94
28/08/2020;53.881;5.57;55.702;53.855;-3.27
27/08/2020;5.57;56.069;5.621;55.452;-0.63
26/08/2020;56.054;5.509;56.342;55.089;1.78
25/08/2020;55.075;56.112;56.136;55.049;-1.83
24/08/2020;5.61;55.773;56.148;55.589;-0.16
21/08/2020;56.192;55.587;56.332;55.554;1.12
20/08/2020;55.568;55.573;56.733;55.381;-0.01
19/08/2020;55.575;54.674;55.619;54.345;1.66
18/08/2020;54.666;55.098;55.168;54.206;-0.78
17/08/2020;55.095;5.441;55.145;54.112;1.64
14/08/2020;54.204;53.699;54.422;53.573;0.96
13/08/2020;5.369;54.356;54.362;5.349;-1.18
12/08/2020;54.333;53.819;54.925;53.819;0.99
11/08/2020;5.38;54.809;54.822;53.716;-1.85
10/08/2020;54.812;54.395;54.907;53.517;0.78
07/08/2020;54.387;53.442;54.394;53.401;1.99
06/08/2020;53.327;52.915;53.721;52.915;0.78
05/08/2020;52.916;52.439;53.204;52.317;0.01
04/08/2020;52.912;53.205;53.775;52.744;-0.57
03/08/2020;53.215;52.223;53.364;52.115;1.86
31/07/2020;52.242;51.541;52.298;51.531;1.34
30/07/2020;51.551;51.705;52.165;51.435;-0.28
29/07/2020;51.695;51.383;51.845;51.145;0.31
28/07/2020;51.536;51.493;52.045;51.346;0.15
27/07/2020;51.457;52.332;52.332;5.141;-1.68
24/07/2020;52.334;52.127;52.533;51.596;0.41
23/07/2020;52.119;51.191;52.262;51.188;1.84
22/07/2020;51.178;51.707;52.028;50.827;-1.06
21/07/2020;51.728;53.291;53.291;51.647;-2.93
20/07/2020;53.291;5.387;53.893;5.328;-1.03
17/07/2020;53.845;53.243;53.923;53.155;1
16/07/2020;53.313;53.697;53.928;53.064;-0.75
15/07/2020;53.716;53.096;5.391;52.917;0.06
14/07/2020;53.684;54.032;54.542;53.306;-0.66
13/07/2020;54.043;5.313;54.098;53.105;1.51
10/07/2020;5.324;5.339;53.946;53.128;-0.36
09/07/2020;53.431;5.345;53.788;5.245;-0.01
08/07/2020;53.438;5.384;53.941;53.178;-0.66
