date;amount
01/01/2003;100,39
01/02/2003;102,06
01/03/2003;102,03
01/04/2003;100,92
01/05/2003;99,76
01/06/2003;100,31
01/07/2003;99,06
01/08/2003;99,72
01/09/2003;101,77
01/10/2003;101,85
01/11/2003;101,97
01/12/2003;101,64
01/01/2004;103,51
01/02/2004;104,52
01/03/2004;105,99
01/04/2004;106,43
01/05/2004;106,31
01/06/2004;107,25
01/07/2004;107,82
01/08/2004;108,2
01/09/2004;109,41
01/10/2004;108,71
01/11/2004;109,62
01/12/2004;108,79
01/01/2005;109,54
01/02/2005;110,21
01/03/2005;110,45
01/04/2005;110,98
01/05/2005;110,95
01/06/2005;110,6
01/07/2005;110,63
01/08/2005;111,26
01/09/2005;110,91
01/10/2005;111,09
01/11/2005;111,81
01/12/2005;112,36
01/01/2006;113,37
01/02/2006;113,63
01/03/2006;113,54
01/04/2006;114,31
01/05/2006;115,63
01/06/2006;114,7
01/07/2006;116,94
01/08/2006;116,6
01/09/2006;116,83
01/10/2006;118,09
01/11/2006;118,86
01/12/2006;119,91
01/01/2007;119,65
01/02/2007;120,18
01/03/2007;119,42
01/04/2007;121,24
01/05/2007;122,33
01/06/2007;123,38
01/07/2007;124,26
01/08/2007;124,26
01/09/2007;125,35
01/10/2007;126,29
01/11/2007;126,18
01/12/2007;126,9
01/01/2008;127,23
01/02/2008;126,75
01/03/2008;126,46
01/04/2008;127,8
01/05/2008;129,41
01/06/2008;131,13
01/07/2008;130,93
01/08/2008;130,99
01/09/2008;130,92
01/10/2008;128,12
01/11/2008;124,96
01/12/2008;120,88
01/01/2009;120,9
01/02/2009;122,19
01/03/2009;123,01
01/04/2009;123,64
01/05/2009;124,88
01/06/2009;125,92
01/07/2009;126,23
01/08/2009;128,09
01/09/2009;129,08
01/10/2009;129,8
01/11/2009;130,03
01/12/2009;131,26
01/01/2010;133,61
01/02/2010;135,18
01/03/2010;136,57
01/04/2010;137,17
01/05/2010;136,46
01/06/2010;136,19
01/07/2010;136,94
01/08/2010;137,71
01/09/2010;139,26
01/10/2010;138,67
01/11/2010;140,11
01/12/2010;138,17
01/01/2011;140,22
01/02/2011;140,77
01/03/2011;141,08
01/04/2011;140,88
01/05/2011;141,3
01/06/2011;142,14
01/07/2011;142,25
01/08/2011;141,95
01/09/2011;141,79
01/10/2011;141,64
01/11/2011;142,28
01/12/2011;140,43
01/01/2012;138,97
01/02/2012;140,38
01/03/2012;140,06
01/04/2012;141,02
01/05/2012;142,61
01/06/2012;143,55
01/07/2012;144,05
01/08/2012;144,29
01/09/2012;143,7
01/10/2012;144,88
01/11/2012;144,61
01/12/2012;144,11
01/01/2013;144,96
01/02/2013;143,82
01/03/2013;144,94
01/04/2013;146,29
01/05/2013;146,81
01/06/2013;146,33
01/07/2013;147,18
01/08/2013;147,14
01/09/2013;148,05
01/10/2013;148,01
01/11/2013;148,37
01/12/2013;148,65
01/01/2014;148,29
01/02/2014;147,99
01/03/2014;147,8
01/04/2014;146,95
01/05/2014;146,25
01/06/2014;143,55
01/07/2014;144,84
01/08/2014;145,61
01/09/2014;146,19
01/10/2014;145,41
01/11/2014;145,64
01/12/2014;146,1
01/01/2015;145,28
01/02/2015;144,33
01/03/2015;144,07
01/04/2015;142,46
01/05/2015;141,19
01/06/2015;139,93
01/07/2015;138,98
01/08/2015;139,12
01/09/2015;137,84
01/10/2015;138,74
01/11/2015;136,91
01/12/2015;136,21
01/01/2016;135,65
01/02/2016;135,59
01/03/2016;134,67
01/04/2016;134,72
01/05/2016;134,16
01/06/2016;134,67
01/07/2016;134,43
01/08/2016;133,83
01/09/2016;133,65
01/10/2016;133,2
01/11/2016;133,07
01/12/2016;132,09
01/01/2017;133,73
01/02/2017;136,01
01/03/2017;135,84
01/04/2017;135,86
01/05/2017;134,99
01/06/2017;136,1
01/07/2017;136,44
01/08/2017;135,62
01/09/2017;135,44
01/10/2017;135,56
01/11/2017;135,89
01/12/2017;137,47
01/01/2018;137,35
01/02/2018;137,36
01/03/2018;137,35
01/04/2018;138,45
01/05/2018;133,05
01/06/2018;137,63
01/07/2018;137,95
01/08/2018;139,02
01/09/2018;137,92
01/10/2018;137,73
01/11/2018;138,32
01/12/2018;138,63
01/01/2019;139,29
01/02/2019;137,76
01/03/2019;137,54
01/04/2019;137,32
01/05/2019;138,19
01/06/2019;138,92
01/07/2019;137,82
01/08/2019;138,42
01/09/2019;139,05
01/10/2019;139,52
01/11/2019;139,53
01/12/2019;139,17
01/01/2020;139,3
01/02/2020;140,01
01/03/2020;131,76
01/04/2020;119,41
01/05/2020;121,63
01/06/2020;128,1
01/07/2020;130,85
