date;name;local_price;dollar_ex
01/04/2000;Brazil;2.95;1.79
01/04/2001;Brazil;3.6;2.19
01/04/2002;Brazil;3.6;2.34
01/04/2003;Brazil;4.55;3.07
01/05/2004;Brazil;5.4;3.18
01/06/2005;Brazil;5.9;2.4648
01/01/2006;Brazil;6.2;2.2615
01/05/2006;Brazil;6.4;2.3045
01/01/2007;Brazil;6.4;2.1335
01/06/2007;Brazil;6.9;1.913
01/06/2008;Brazil;7.5;1.5846
01/07/2009;Brazil;8.03;1.9971
01/01/2010;Brazil;8.2;1.7233
01/07/2010;Brazil;8.71;1.77495
01/07/2011;Brazil;9.5;1.5416
01/01/2012;Brazil;10.25;1.805
01/07/2012;Brazil;10.08;2.04215
01/01/2013;Brazil;11.25;1.99335
01/07/2013;Brazil;12;2.27065
01/01/2014;Brazil;12.4;2.36305
01/07/2014;Brazil;13;2.22025
01/01/2015;Brazil;13.5;2.59275
01/07/2015;Brazil;13.5;3.15235
01/01/2016;Brazil;13.5;4.0248
01/07/2016;Brazil;15.5;3.24145
01/01/2017;Brazil;16.5;3.22395
01/07/2017;Brazil;16.5;3.2343
01/01/2018;Brazil;16.5;3.2279
01/07/2018;Brazil;16.9;3.83835
01/01/2019;Brazil;16.9;3.71795
09/07/2019;Brazil;17.5;3.8073
